id,community,area,price,phone,url
1096,杉杉in象,40m²,1600元/月,159 5839 3920,https://jx.fccs.com/rent/22919532.html
1095,晴湾,60m²,2400元/月,183 6732 5859,https://jx.fccs.com/rent/22829133.html
1094,大树银河湾,120m²,2700元/月,137 3685 3635,https://jx.fccs.com/rent/23165141.html
1093,翰林府第,143m²,3000元/月,137 5807 2153,https://jx.fccs.com/rent/23144404.html
1092,东方禾苑,132m²,2600元/月,139 6738 1919,https://jx.fccs.com/rent/23158946.html
1091,卫校宿舍,60m²,2300元/月,199 0583 2277,https://jx.fccs.com/rent/23166553.html
1090,赞成·学仕苑,67.2m²,2000元/月,137 5839 1760,https://jx.fccs.com/rent/23091416.html
1089,赞成·学仕苑,70m²,2000元/月,136 6675 2836,https://jx.fccs.com/rent/23138535.html
1088,格林小镇,60m²,1800元/月,180 0573 4060,https://jx.fccs.com/rent/23117902.html
1087,金地悦峰里,100m²,1600元/月,132 9153 3888,https://jx.fccs.com/rent/23166917.html
1086,越秀花园,142m²,2800元/月,158 8833 0900,https://jx.fccs.com/rent/23148739.html
1085,云东公寓,110m²,1850元/月,132 5573 8338,https://jx.fccs.com/rent/23159259.html
1084,旭辉广场,49m²,2000元/月,153 5673 8845,https://jx.fccs.com/rent/23160852.html
1083,泰富世界城,84m²,2200元/月,135 0573 5568,https://jx.fccs.com/rent/23166360.html
1082,丽丰新天地,100m²,2100元/月,139 6733 5726,https://jx.fccs.com/rent/22986174.html
1081,旭辉广场,43m²,1400元/月,138 6731 0928,https://jx.fccs.com/rent/22967084.html
1080,沙龙公寓,83.5m²,1300元/月,187 5821 0338,https://jx.fccs.com/rent/23166683.html
1079,丽丰新天地,50m²,1900元/月,139 5739 2171,https://jx.fccs.com/rent/23160818.html
1078,元一柏庄,70m²,2900元/月,177 5737 9091,https://jx.fccs.com/rent/23166680.html
1077,百汇大厦·星雅汇,45.5m²,1480元/月,199 5730 1938,https://jx.fccs.com/rent/23131155.html
1076,赞成·清华府邸,107m²,2800元/月,177 5737 9091,https://jx.fccs.com/rent/23166716.html
1075,长新公寓,80m²,1600元/月,178 9579 0078,https://jx.fccs.com/rent/23109703.html
1074,嘉禾绿洲,122m²,2600元/月,131 1573 2909,https://jx.fccs.com/rent/23114382.html
1073,赞成·学仕苑,20m²,750元/月,133 9573 1508,https://jx.fccs.com/rent/22972584.html
1072,信达东郡,127m²,1600元/月,177 5735 2526,https://jx.fccs.com/rent/23165810.html
1071,罗马都市,100m²,2600元/月,138 1909 0737,https://jx.fccs.com/rent/23120759.html
1070,虹桥新村,56m²,900元/月,137 5737 0234,https://jx.fccs.com/rent/23049626.html
1069,吉水花园,86m²,1750元/月,187 6738 1696,https://jx.fccs.com/rent/23155236.html
1068,文星花园·汇龙苑,54m²,1650元/月,138 5738 5095,https://jx.fccs.com/rent/23157501.html
1067,翠湖壹号,129m²,2000元/月,183 2435 3173,https://jx.fccs.com/rent/23159392.html
1066,万科·海上传奇Ⅱ,83m²,3500元/月,133 6233 9172,https://jx.fccs.com/rent/22973238.html
